2026-05-20 04:55:46 | src.augmentation.augmentor | INFO | AudioAugmentor baslatildi - SR: 22050, Sure: 3.0s
2026-05-20 04:55:46 | src.augmentation.augmentor | INFO | Augmentation basliyor - 240 dosya
2026-05-20 04:56:46 | src.augmentation.augmentor | INFO | Augmentation tamamlandi:
2026-05-20 04:56:46 | src.augmentation.augmentor | INFO |   - alarm_clock: +720 augmente ornek
2026-05-20 04:56:46 | src.augmentation.augmentor | INFO |   - crying_baby: +720 augmente ornek
2026-05-20 04:56:46 | src.augmentation.augmentor | INFO |   - dog_bark: +720 augmente ornek
2026-05-20 04:56:46 | src.augmentation.augmentor | INFO |   - door_bell: +720 augmente ornek
2026-05-20 04:56:46 | src.augmentation.augmentor | INFO |   - glass_breaking: +560 augmente ornek
2026-05-20 04:56:46 | src.augmentation.augmentor | INFO |   - siren: +560 augmente ornek
2026-05-20 04:56:46 | src.augmentation.augmentor | INFO |   Toplam: 240 orijinal + 4000 augmente = 4240
2026-06-05 11:49:13 | src.augmentation.augmentor | INFO | AudioAugmentor baslatildi - SR: 22050, Sure: 3.0s
2026-06-05 11:49:13 | src.augmentation.augmentor | INFO | Augmentation basliyor - 200 dosya
2026-06-05 11:50:03 | src.augmentation.augmentor | INFO | Augmentation tamamlandi:
2026-06-05 11:50:03 | src.augmentation.augmentor | INFO |   - alarm_clock: +720 augmente ornek
2026-06-05 11:50:03 | src.augmentation.augmentor | INFO |   - crying_baby: +720 augmente ornek
2026-06-05 11:50:03 | src.augmentation.augmentor | INFO |   - dog_bark: +720 augmente ornek
2026-06-05 11:50:03 | src.augmentation.augmentor | INFO |   - glass_breaking: +560 augmente ornek
2026-06-05 11:50:03 | src.augmentation.augmentor | INFO |   - siren: +560 augmente ornek
2026-06-05 11:50:03 | src.augmentation.augmentor | INFO |   Toplam: 200 orijinal + 3280 augmente = 3480
