2026-05-20 04:45:15 | src.evaluation.evaluator | INFO | Test accuracy: 0.9167
2026-05-20 04:45:16 | src.evaluation.evaluator | INFO | Confusion matrix kaydedildi: C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\outputs\plots\confusion_matrix.png
2026-05-20 04:45:16 | src.evaluation.evaluator | INFO | === GUVENLIK-KRITIK SINIF RAPORU ===
2026-05-20 04:45:16 | src.evaluation.evaluator | INFO |   [UYARI] alarm_clock: recall=0.7500
2026-05-20 04:45:16 | src.evaluation.evaluator | WARNING |   !!! alarm_clock recall < 0.80 - Guvenlik riski!
2026-05-20 04:45:16 | src.evaluation.evaluator | INFO |   [OK] crying_baby: recall=1.0000
2026-05-20 04:45:16 | src.evaluation.evaluator | INFO |   [OK] glass_breaking: recall=1.0000
2026-05-20 04:45:16 | src.evaluation.evaluator | INFO |   [OK] siren: recall=1.0000
2026-05-20 04:45:16 | src.evaluation.evaluator | INFO | ====================================
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO | Test accuracy: 0.9387
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO | Confusion matrix kaydedildi: C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\outputs\plots\confusion_matrix_mlp.png
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO | === GUVENLIK-KRITIK SINIF RAPORU ===
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO |   [OK] alarm_clock: recall=0.9868
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO |   [OK] crying_baby: recall=0.9803
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO |   [OK] glass_breaking: recall=0.9000
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO |   [OK] siren: recall=0.9917
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO | ====================================
2026-05-20 05:00:24 | src.evaluation.evaluator | INFO | Test accuracy: 0.9021
