2026-05-20 04:45:06 | src.training.splitter | INFO | Veri bolme tamamlandi:
2026-05-20 04:45:06 | src.training.splitter | INFO |   Train: 156, Val: 36, Test: 48
2026-05-20 04:45:06 | src.training.splitter | INFO |   Train sinif dagilimi: {np.int64(0): np.int64(26), np.int64(1): np.int64(26), np.int64(2): np.int64(26), np.int64(3): np.int64(26), np.int64(4): np.int64(26), np.int64(5): np.int64(26)}
2026-05-20 04:45:06 | src.training.splitter | INFO | Normalizasyon tamamlandi - mean range: [-355.43, 102.44], std range: [2.36, 230.15]
2026-05-20 04:45:06 | src.training.splitter | INFO | Scaler kaydedildi: C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\models\mlp\scaler.joblib
2026-05-20 04:45:06 | src.training.mlp_model | INFO | MLP modeli olusturuldu - 63814 parametre
2026-05-20 04:45:06 | src.training.mlp_model | INFO | Model derlendi - LR: 0.001000
2026-05-20 04:45:06 | src.training.mlp_model | INFO | Callback'ler hazir - EarlyStopping(20), LRReduce(10)
2026-05-20 04:45:06 | src.training.mlp_model | INFO | MLP egitimi basliyor - 150 epoch, batch=64
2026-05-20 04:45:15 | src.training.mlp_model | INFO | Egitim tamamlandi - Son val_accuracy: 0.8889
2026-05-20 04:45:15 | src.training.mlp_model | INFO | Egitim grafigi kaydedildi: C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\outputs\plots\mlp_training_history.png
2026-05-20 04:57:29 | src.training.splitter | INFO | Veri bolme tamamlandi:
2026-05-20 04:57:29 | src.training.splitter | INFO |   Train: 2756, Val: 636, Test: 848
2026-05-20 04:57:29 | src.training.splitter | INFO |   Train sinif dagilimi: {np.int64(0): np.int64(494), np.int64(1): np.int64(494), np.int64(2): np.int64(494), np.int64(3): np.int64(494), np.int64(4): np.int64(390), np.int64(5): np.int64(390)}
2026-05-20 04:57:29 | src.training.splitter | INFO | Normalizasyon tamamlandi - mean range: [-365.54, 106.85], std range: [2.38, 218.34]
2026-05-20 04:57:29 | src.training.splitter | INFO | Scaler kaydedildi: C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\models\mlp\scaler.joblib
2026-05-20 04:57:29 | src.training.mlp_model | INFO | MLP modeli olusturuldu - 63814 parametre
2026-05-20 04:57:29 | src.training.mlp_model | INFO | Model derlendi - LR: 0.001000
2026-05-20 04:57:29 | src.training.mlp_model | INFO | Callback'ler hazir - EarlyStopping(20), LRReduce(10)
2026-05-20 04:57:29 | src.training.mlp_model | INFO | MLP egitimi basliyor - 150 epoch, batch=64
2026-05-20 04:57:43 | src.training.mlp_model | INFO | Egitim tamamlandi - Son val_accuracy: 0.9371
2026-05-20 04:57:43 | src.training.mlp_model | INFO | Egitim grafigi kaydedildi: C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\outputs\plots\mlp_training_history.png
2026-05-20 04:57:43 | src.training.splitter | INFO | Veri bolme tamamlandi:
2026-05-20 04:57:43 | src.training.splitter | INFO |   Train: 2756, Val: 636, Test: 848
